"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"종로구","공원056_종로 157 종묘광장공원_메인","37.5715","126.9961","1","2022-12-01"
"종로구","공원057_종로 157 종묘광장공원_메인","37.5718","126.9958","1","2022-12-01"
"종로구","공원058_종로 157 종묘광장공원_메인","37.5711","126.9955","1","2022-12-01"
"종로구","공원059_청진동 146-3 청진공원_메인","37.5715","126.9798","1","2022-12-01"
"종로구","공원060_창신동 23-362 창신어린이공원_검지1","37.5779","127.0131","1","2022-12-01"
"종로구","공원060_창신동 23-362 창신어린이공원_메인","37.5779","127.0131","1","2022-12-01"
"종로구","공원061_숭인동 58-59 숭인공원_메인","37.5774","127.0181","1","2022-12-01"
"종로구","공원062_숭인동 58-70 숭인공원_메인","37.5772","127.0178","1","2022-12-01"
"종로구","공원063_송월동 1-92 돈의문1구역 어린이공원_검지1","37.5711","126.9652","1","2022-12-01"
"종로구","공원063_송월동 1-92 돈의문1구역 어린이공원_메인","37.5711","126.9652","1","2022-12-01"
"종로구","공원064_홍파동 5-21 돈의문1구역 어린이공원_검지1","37.5714","126.9647","1","2022-12-01"
"종로구","공원064_홍파동 5-21 돈의문1구역 어린이공원_메인","37.5714","126.9647","1","2022-12-01"
"종로구","공원065_송월동 32-43 돈의문1구역 소공원_검지1","37.5701","126.9656","1","2022-12-01"
"종로구","공원065_송월동 32-43 돈의문1구역 소공원_검지2","37.5701","126.9656","1","2022-12-01"
"종로구","공원065_송월동 32-43 돈의문1구역 소공원_메인","37.5701","126.9656","1","2022-12-01"
"종로구","공원066_송월동 32-43 돈의문1구역 소공원_메인","37.5698","126.9654","1","2022-12-01"
"종로구","공원067_숭인동 72-213 숭인공원_메인","37.5752","127.0181","1","2022-12-01"
"종로구","공원068_부암동 262-1_검지1","37.5923","126.9647","1","2022-12-01"
"종로구","공원068_부암동 262-1_검지2","37.5923","126.9647","1","2022-12-01"
"종로구","공원068_부암동 262-1_메인","37.5923","126.9647","1","2022-12-01"
"종로구","공원069_옥인동 179-6_메인","37.5826","126.9626","1","2022-12-01"
"종로구","공원070_동망산길 150_메인","37.5780","127.0182","1","2022-12-01"
"종로구","공원071_동망산길 150_메인","37.5777","127.0180","1","2022-12-01"
"종로구","공원072_창신동23-350_검지1","37.5757","127.0124","1","2022-12-01"
"종로구","공원072_창신동23-350_검지2","37.5757","127.0124","1","2022-12-01"
"종로구","공원073_창신동23-350_메인","37.5757","127.0124","1","2022-12-01"
"종로구","공원074_창신동23-350_메인","37.5757","127.0124","1","2022-12-01"
"종로구","공원075_창신동23-350_메인","37.5757","127.0124","1","2022-12-01"
"종로구","공원076_창신동23-350_메인","37.5757","127.0124","1","2022-12-01"
"종로구","공원077_창신동23-350_메인","37.5757","127.0124","1","2022-12-01"
"종로구","공원078_무악동46-2100_메인","37.5738","126.9601","1","2022-12-01"
"종로구","공원079_신문로1가 41_검지1","37.5711","126.9736","1","2022-12-01"
"종로구","공원079_신문로1가 41_검지2","37.5711","126.9736","1","2022-12-01"
"종로구","공원079_신문로1가 41_메인","37.5711","126.9736","1","2022-12-01"
"종로구","공원080_신문로1가 41_검지1","37.5709","126.9737","1","2022-12-01"
"종로구","공원080_신문로1가 41_검지2","37.5709","126.9737","1","2022-12-01"
"종로구","공원080_신문로1가 41_메인","37.6036","126.9435","1","2022-12-01"
"종로구","공원081_옥인동 45-1_검지1","37.5822","126.9682","1","2022-12-01"
"종로구","공원081_옥인동 45-1_검지2","37.5822","126.9682","1","2022-12-01"
"종로구","공원081_옥인동 45-1_메인","37.5822","126.9682","1","2022-12-01"
"종로구","공원082_효자로 29_검지1","37.5787","126.9737","1","2022-12-01"
